transactionId,basket,totalAmount,orderedBooks,customerType_new,prediction
4132523932,"[4, 3, 4, 3, 2, 3]",439.2,6,0,1
8998574539,"[3, 4, 4, 3, 5]",102.0,5,0,0
9346688547,"[1, 1, 2, 2, 4, 4, 3, 1, 1, 0, 3]",330.0,11,0,0
4533897707,"[3, 2, 2, 1, 5, 1, 1, 0]",633.6,8,0,0
3334800500,"[4, 2, 3, 5, 2, 5, 1]",344.4,7,0,0
2186728765,"[2, 1, 0, 4, 0, 3, 1]",730.8,7,1,0
3199662184,"[3, 4, 0, 2, 2, 3, 3]",924.0,7,0,0
5402321657,[5],51.6,1,0,0
2412583752,[4],60.0,1,1,1
6514158177,"[1, 5, 0, 4, 1, 3, 0, 3]",,8,0,0
9921070173,"[4, 4, 2, 3]",364.8,4,0,1
8509628417,"[4, 3]",144.0,2,0,1
3314363542,"[5, 0, 4, 4, 1, 2, 2]",520.8,7,0,0
9102536054,"[5, 4, 0, 3, 5]",246.0,5,0,0
8394537850,"[0, 1, 4, 5, 3]",156.0,,0,0
8812545928,"[4, 1, 5]",93.6,3,1,0
8125796712,"[4, 1, 4, 4, 4, 3]",655.1999999999999,6,0,1
8864192738,"[0, 4, 2, 4]",360.0,4,1,0
9014789703,[4],122.4,1,0,0
3693861930,[3],,1,0,0
2765009482,"[3, 4, 4, 4, 1, 4, 4, 4, 3]",1339.2,9,1,1
1047938402,"[5, 5, 3, 1, 0, 4, 4, 1]",614.4,8,0,0
3646462245,"[4, 0, 0, 3, 4, 4, 0, 4]",854.4,8,1,1
8777621375,"[2, 0, 5]",64.8,3,0,0
2426486390,"[4, 2, 4, 2]",192.0,4,0,0
7018762417,"[4, 3, 4, 1, 1, 4]",820.8,6,1,1
2147937357,[4],33.6,1,0,1
9814198624,"[0, 2]",194.4,2,0,1
2699358385,"[1, 0, 4, 4]",240.0,4,0,0
2557550487,"[3, 0, 2, 4, 1, 2, 1, 4]",1632.0,8,1,1
6388610842,"[0, 3]",24.0,2,0,0
7990185735,"[3, 4, 2, 1, 4, 3, 1, 3]",816.0,8,0,1
4821967136,[4],123.6,1,1,1
2017620274,"[4, 2, 1, 1, 2, 0]",72.0,6,1,0
9755596063,[2],57.6,1,0,0
2312594453,"[1, 0, 5, 1, 2, 5, 1]",378.0,7,0,0
7632282186,"[0, 1, 2, 2, 0]",60.0,5,0,0
8077768084,"[0, 4, 5, 3, 1, 0]",165.6,6,0,0
4167589774,"[4, 4, 4, 2]",86.39999999999999,4,0,1
2552433216,"[1, 5, 0, 0, 5, 3, 3, 1, 5]",561.6,9,1,0
1994166750,"[1, 2, 0, 1, 5, 3]",669.6,6,0,0
2566351716,"[2, 3]",62.4,2,0,0
3199126427,"[1, 1, 1, 1, 1, 5, 0]",999.6,7,0,0
2556356198,"[4, 3, 0, 0, 4, 4, 0]",403.2,7,1,1
3568168553,[4],16.8,1,0,0
6987389327,"[5, 1, 5, 3, 4, 1, 4, 2, 5, 1, 3]",343.2,11,0,0
3363303490,"[2, 1, 3, 1, 5, 5, 2]",336.0,7,0,0
1968635303,"[2, 1, 4, 3, 0, 1, 5, 3, 3, 1]",840.0,10,0,0
1328215072,[4],40.8,1,0,1
2815035476,"[4, 5, 3, 0, 4, 0, 0]",352.8,7,0,0
4551632935,"[1, 1, 5, 4, 1, 0]",460.8,6,0,0
9660726636,"[2, 5, 3]",39.6,3,0,0
2461964800,"[2, 3, 4, 1, 4, 4]",792.0,6,0,1
8521523017,"[4, 3]",283.2,2,1,0
1777006911,[0],84.0,1,0,0
4710405279,"[3, 3, 3, , 4, 2, 4, 3, 3]",518.4,9,1,1
8039369435,[3],109.2,1,0,1
7057928585,"[1, 5, 2, 4, 1, 4]",338.4,6,0,0
2015554352,"[5, 0, 2, 2, 2, 0]",194.4,6,1,0
2798478609,"[1, 4, 0, 2, 5, 5, 5, 0]",547.1999999999999,8,0,0
4759447650,"[4, 3, 4]",259.2,3,1,1
5250444443,"[4, 5, 3, 2, 0, 2, 1, 1, 2]",378.0,9,0,0
2864499485,"[0, 2, 1, 0]",446.4,4,0,0
5089600329,"[1, 3, 1, 0, 1]",258.0,5,0,0
4438657611,"[4, 2, 4, 3, 1]",360.0,5,0,0
9472416628,"[4, 2, 4, 4, 0, 4, 2, 4, 4]",766.8,9,1,1
6157452739,"[1, 2, 2, 2, 0]",216.0,5,0,0
2095573064,"[0, 1, 1]",244.8,3,0,0
7681508453,[4],55.2,1,0,1
9988588603,[2],36.0,1,1,0
6957050142,"[5, 5, 5, 5, 3, 1, 4, 3, 2, 5]",588.0,10,0,0
9613234715,"[4, 3, 4, 3, 3, 1, 4]",520.8,7,1,1
1657317799,"[4, 4, 4, 4, 4]",702.0,5,0,1
8528343168,"[2, 2, 3, 5, 2, 5]",662.4,6,0,0
2881831791,[1],85.2,1,0,0
9927818710,[1],79.2,1,0,0
2897977974,"[2, 1, 5, 3]",158.4,4,0,0
2374484031,"[2, 2, 5, 4, 3, 4, 3, 0, 5]",453.6,9,0,0
3829992678,"[1, 1, 4, 1, 4]",342.0,5,0,0
9601517011,[3],55.2,1,,1
5553716624,"[5, 1, 0, 4, 3, 5]",345.6,6,1,0
8462460851,"[1, 4, 1, 5, 4]",420.0,5,1,0
5190448479,"[4, 4, 0, 2, 3, 0, 2, 1]",566.4,8,1,0
8905307964,[3],50.4,1,0,0
9925403501,"[4, 0]",139.2,2,0,0
3744884370,"[1, 2, 2, 1, 1]",60.0,5,0,0
3569949127,"[3, 1, 2, 4]",475.2,4,1,0
2898723170,"[4, 3, 0, 4, 2, 4]",799.1999999999999,6,1,1
3459064581,"[4, 0, 4, 4, 0, 3, 2, 3, 4, 3, 0, 4]",388.8,12,0,1
1512518002,"[1, 5, 3, 0, 0, 1]",439.2,6,0,0
8052536787,"[1, 4, 3, 4, 4]",396.0,5,0,1
1893329994,"[5, 4, 3, 3, 0]",264.0,5,0,0
1765471642,"[3, 4, 4, 3, 1, 4]",597.6,6,1,1
5542845319,"[5, 2, 1, 1]",206.4,4,0,0
6386623822,"[0, 5]",189.6,2,0,0
5096580224,"[1, 0]",158.4,2,0,0
6435137301,"[4, 4]",180.0,2,0,1
6575477846,"[4, 2, 5, 5, 0, 2, 2, 2, 4]",518.4,9,0,0
4223819298,[5],50.4,1,1,0
5241574396,"[3, 4]",163.2,2,1,1
6226712407,"[0, 0, 5]",205.2,3,0,0
4395957998,"[4, 4]",302.4,2,1,1
9212152078,"[4, 2]",96.0,2,1,0
1010745363,"[1, 4, 2, 0]",393.6,4,1,0
8785941121,"[4, 4, 0, 1, 2]",408.0,,0,0
3414005408,"[4, 3, 3]",172.79999999999998,3,1,1
1767781772,"[2, 0, 4, 2, 4, 4]",482.4,6,0,1
9099740894,[2],43.2,1,0,0
3085214607,"[0, 1, 5, 0, 2, 4, 4]",554.4,7,0,0
1229001952,"[3, 0, 4, 5]",273.6,4,0,0
5245919173,"[4, 3, 1, 3, 0, 4, 1]",697.1999999999999,7,1,1
